,flink_taskmanager_job_task_estimatedTimeToConsumeBuffersMs
,Source:_Source2
,0
Timestamp,
1736779280000,-9.223372036854775e+18
1736779285000,-9.223372036854775e+18
1736779290000,-9.223372036854775e+18
1736779295000,-9.223372036854775e+18
1736779300000,-9.223372036854775e+18
1736779305000,-9.223372036854775e+18
1736779310000,-9.223372036854775e+18
1736779315000,-9.223372036854775e+18
1736779320000,-9.223372036854775e+18
1736779325000,-9.223372036854775e+18
1736779330000,-9.223372036854775e+18
1736779335000,-9.223372036854775e+18
1736779340000,-9.223372036854775e+18
1736779345000,-9.223372036854775e+18
1736779350000,-9.223372036854775e+18
1736779355000,-9.223372036854775e+18
1736779360000,-9.223372036854775e+18
1736779365000,-9.223372036854775e+18
1736779370000,-9.223372036854775e+18
1736779375000,-9.223372036854775e+18
1736779380000,-9.223372036854775e+18
1736779385000,-9.223372036854775e+18
1736779390000,-9.223372036854775e+18
1736779395000,-9.223372036854775e+18
1736779400000,-9.223372036854775e+18
1736779405000,-9.223372036854775e+18
1736779410000,-9.223372036854775e+18
1736779415000,-9.223372036854775e+18
1736779420000,-9.223372036854775e+18
1736779425000,-9.223372036854775e+18
1736779430000,-9.223372036854775e+18
1736779435000,-9.223372036854775e+18
1736779440000,-9.223372036854775e+18
1736779445000,-9.223372036854775e+18
1736779450000,-9.223372036854775e+18
1736779455000,-9.223372036854775e+18
1736779460000,-9.223372036854775e+18
1736779465000,-9.223372036854775e+18
1736779470000,-9.223372036854775e+18
1736779475000,-9.223372036854775e+18
1736779480000,-9.223372036854775e+18
1736779485000,-9.223372036854775e+18
1736779490000,-9.223372036854775e+18
1736779495000,-9.223372036854775e+18
1736779500000,-9.223372036854775e+18
1736779505000,-9.223372036854775e+18
1736779510000,-9.223372036854775e+18
1736779515000,
1736779540000,-9.223372036854775e+18
1736779545000,-9.223372036854775e+18
1736779550000,-9.223372036854775e+18
1736779555000,-9.223372036854775e+18
1736779560000,-9.223372036854775e+18
1736779565000,-9.223372036854775e+18
1736779570000,-9.223372036854775e+18
1736779575000,-9.223372036854775e+18
1736779580000,-9.223372036854775e+18
1736779585000,-9.223372036854775e+18
1736779590000,-9.223372036854775e+18
1736779595000,-9.223372036854775e+18
1736779600000,-9.223372036854775e+18
1736779605000,-9.223372036854775e+18
1736779610000,-9.223372036854775e+18
1736779615000,-9.223372036854775e+18
1736779620000,-9.223372036854775e+18
1736779625000,-9.223372036854775e+18
1736779630000,-9.223372036854775e+18
1736779635000,-9.223372036854775e+18
1736779640000,-9.223372036854775e+18
1736779645000,-9.223372036854775e+18
1736779650000,-9.223372036854775e+18
1736779655000,-9.223372036854775e+18
1736779660000,-9.223372036854775e+18
1736779665000,-9.223372036854775e+18
1736779670000,-9.223372036854775e+18
1736779675000,-9.223372036854775e+18
1736779680000,-9.223372036854775e+18
1736779685000,-9.223372036854775e+18
1736779690000,-9.223372036854775e+18
1736779695000,-9.223372036854775e+18
1736779700000,-9.223372036854775e+18
1736779705000,-9.223372036854775e+18
1736779710000,-9.223372036854775e+18
1736779715000,-9.223372036854775e+18
1736779720000,-9.223372036854775e+18
1736779725000,-9.223372036854775e+18
1736779730000,-9.223372036854775e+18
1736779735000,-9.223372036854775e+18
1736779740000,-9.223372036854775e+18
1736779745000,-9.223372036854775e+18
1736779750000,-9.223372036854775e+18
1736779755000,-9.223372036854775e+18
1736779760000,-9.223372036854775e+18
1736779765000,-9.223372036854775e+18
1736779770000,-9.223372036854775e+18
1736779775000,-9.223372036854775e+18
1736779780000,-9.223372036854775e+18
1736779785000,-9.223372036854775e+18
1736779790000,-9.223372036854775e+18
1736779795000,-9.223372036854775e+18
1736779800000,-9.223372036854775e+18
1736779805000,
1736779830000,-9.223372036854775e+18
1736779835000,-9.223372036854775e+18
1736779840000,-9.223372036854775e+18
1736779845000,-9.223372036854775e+18
1736779850000,-9.223372036854775e+18
1736779855000,-9.223372036854775e+18
1736779860000,-9.223372036854775e+18
1736779865000,-9.223372036854775e+18
1736779870000,-9.223372036854775e+18
1736779875000,-9.223372036854775e+18
1736779880000,-9.223372036854775e+18
1736779885000,-9.223372036854775e+18
1736779890000,-9.223372036854775e+18
1736779895000,-9.223372036854775e+18
1736779900000,-9.223372036854775e+18
1736779905000,-9.223372036854775e+18
1736779910000,-9.223372036854775e+18
1736779915000,-9.223372036854775e+18
1736779920000,-9.223372036854775e+18
1736779925000,-9.223372036854775e+18
1736779930000,-9.223372036854775e+18
1736779935000,-9.223372036854775e+18
1736779940000,-9.223372036854775e+18
1736779945000,-9.223372036854775e+18
1736779950000,-9.223372036854775e+18
1736779955000,-9.223372036854775e+18
1736779960000,-9.223372036854775e+18
1736779965000,-9.223372036854775e+18
1736779970000,-9.223372036854775e+18
1736779975000,-9.223372036854775e+18
1736779980000,-9.223372036854775e+18
1736779985000,-9.223372036854775e+18
1736779990000,-9.223372036854775e+18
1736779995000,-9.223372036854775e+18
1736780000000,-9.223372036854775e+18
1736780005000,-9.223372036854775e+18
1736780010000,-9.223372036854775e+18
1736780015000,-9.223372036854775e+18
1736780020000,-9.223372036854775e+18
1736780025000,-9.223372036854775e+18
1736780030000,-9.223372036854775e+18
1736780035000,-9.223372036854775e+18
1736780040000,-9.223372036854775e+18
1736780045000,-9.223372036854775e+18
1736780050000,-9.223372036854775e+18
1736780055000,-9.223372036854775e+18
1736780060000,-9.223372036854775e+18
1736780065000,-9.223372036854775e+18
1736780070000,-9.223372036854775e+18
1736780075000,-9.223372036854775e+18
1736780080000,
